 Pd/N/H/Cr/O                                                                     
  WAVELENGTH 1.54056
  SPACE GROUP : P 21/C                              
 A=  7.7701      B= 11.5770      C= 11.8509
 ALPHA= 90.000   BETA=105.501    GAMMA= 90.000
 TOTAL NUMBER OF HKL :   829
    H   K   L  MULT   d(A)    2-theta(°)
    2   4   8   4    1.1312    85.838
    1  10  -2   4    1.1307    85.881
    2   9   3   4    1.1307    85.887
    1   9  -5   4    1.1304    85.916
    6   5  -2   4    1.1291    86.031
    6   5  -3   4    1.1285    86.088
    6   2  -7   4    1.1285    86.088
    4   8  -4   4    1.1282    86.116
    5   7  -3   4    1.1274    86.198
    3   4   7   4    1.1273    86.208
    5   7  -1   4    1.1266    86.277
    2   7   6   4    1.1265    86.282
    4   5   5   4    1.1261    86.325
    1   3 -10   4    1.1256    86.368
    5   5  -7   4    1.1255    86.377
    3   9   1   4    1.1242    86.507
    5   1  -9   4    1.1228    86.635
    4   7   3   4    1.1215    86.759
    5   5   3   4    1.1214    86.774
    4   8   1   4    1.1211    86.798
    0   9   5   4    1.1208    86.830
    0   2  10   4    1.1204    86.870
    6   5  -1   4    1.1188    87.019
    3   5  -9   4    1.1185    87.057
    4   4  -9   4    1.1174    87.156
    3   0   8   2    1.1171    87.188
    6   5  -4   4    1.1171    87.189
    5   1   5   4    1.1171    87.192
    3   8  -6   4    1.1169    87.206
    4   0 -10   2    1.1165    87.245
    1   7   7   4    1.1160    87.297
    5   6  -6   4    1.1159    87.306
    2   8   5   4    1.1159    87.308
    2   6   7   4    1.1158    87.316
    2   9  -5   4    1.1146    87.431
    5   4  -8   4    1.1139    87.508
    6   4   1   4    1.1134    87.554
    3   3 -10   4    1.1132    87.571
    1  10   2   4    1.1131    87.584
    0   5   9   4    1.1127    87.618
    5   6   2   4    1.1127    87.624
    3   1   8   4    1.1120    87.696
    1   8   6   4    1.1119    87.705
    5   7  -4   4    1.1117    87.724
    4   1 -10   4    1.1114    87.752
    5   7   0   4    1.1101    87.883
    3   7   5   4    1.1100    87.888
    2   1   9   4    1.1094    87.945
    6   4  -6   4    1.1094    87.951
    3   9  -4   4    1.1094    87.954
    2  10  -1   4    1.1093    87.958
    5   4   4   4    1.1090    87.985
    1  10  -3   4    1.1082    88.066
    1   4   9   4    1.1080    88.091
    6   3   2   4    1.1077    88.118
    0  10   3   4    1.1076    88.128
    5   2  -9   4    1.1073    88.159
    7   0  -2   2    1.1062    88.268
    2  10   0   4    1.1060    88.287
    3   6   6   4    1.1059    88.303
    7   1  -3   4    1.1048    88.407
    7   0  -4   2    1.1032    88.574
    6   3  -7   4    1.1027    88.628
    2  10  -2   4    1.1022    88.673
    5   2   5   4    1.1018    88.715
    1   7  -8   4    1.1015    88.743
    7   1  -2   4    1.1012    88.775
    1   6   8   4    1.0995    88.949
    1   8  -7   4    1.0994    88.958
    2   7  -8   4    1.0992    88.982
    6   5   0   4    1.0985    89.049
    7   1  -4   4    1.0982    89.081
    4   8  -5   4    1.0979    89.112
    4   4   6   4    1.0971    89.197
    6   1   3   4    1.0969    89.217
    3   2   8   4    1.0969    89.218
    4   2 -10   4    1.0963    89.275
    2   4 -10   4    1.0960    89.310
    6   5  -5   4    1.0958    89.332
    6   0  -8   2    1.0958    89.332
    3   9   2   4    1.0956    89.348
    0   3  10   4    1.0950    89.408
    2   2   9   4    1.0945    89.467
    3   8   4   4    1.0939    89.531
    2   8  -7   4    1.0930    89.621
    2  10   1   4    1.0926    89.659
    6   1  -8   4    1.0909    89.840
    1   4 -10   4    1.0901    89.922
    7   2  -3   4    1.0900    89.929
